domain,active_our_score,rating_our_score
patriotusa.website,n,
scaryhours.com,n,
southernconservativeextra.com,n,
surreytelegraph.com,n,
theavocadonews.com,n,
thebreakingnews.co,y,u
therealshtick.com,n,
theworldupdate.com,n,
tmzbusiness.com,n,
usadailythings24.com,n,
usanewstoday.com,y,u
vancouverinquirer.com,n,
veteransfordonaldtrump.com,y,c
viralstupid.com,n,
werk35.com,n,
wftj8news.com,n,
wmb36.com,n,
world.politics.com,n,
wrejnews.com,n,
